subject,body,urls,label
Weekly Report,"If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. This message contains important information about the upcoming schedule and deliverables for our project. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. This message contains important information about the upcoming schedule and deliverables for our project. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. This message contains important information about the upcoming schedule and deliverables for our project. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Policy Update Notification,"Please see the attached document and review the proposed changes before the end of the week. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. Please see the attached document and review the proposed changes before the end of the week. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Office Maintenance Notice,"If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Security Alert: Account Compromised,Security alert: please reset your credentials immediately to prevent data exposure. Claim your reward now by providing your details; limited slots are available and verification is required. Click the link below to immediately secure your account and confirm your identity within 24 hours. An important document requires your confirmation; access it through the link provided to avoid penalties. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$333 at Online Store. http://malicious.example/6308 http://malicious.example/1645,2,1
Action Required: Account Suspended,"To receive your package or prize, provide confirmation with valid personal details on the linked form. To receive your package or prize, provide confirmation with valid personal details on the linked form. To receive your package or prize, provide confirmation with valid personal details on the linked form. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4538",1,1
Team Meeting Tomorrow,"Please see the attached document and review the proposed changes before the end of the week. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. This message contains important information about the upcoming schedule and deliverables for our project. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document.",1,0
Reset Your Password Immediately,Failure to respond within the specified timeframe may result in temporary suspension of your account. Click the link below to immediately secure your account and confirm your identity within 24 hours. An important document requires your confirmation; access it through the link provided to avoid penalties. You have been specially selected for an exclusive offer; click to finalize your acceptance. Your payment could not be processed; update your billing information to avoid service interruption. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3967,1,1
Performance Summary,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing.",0,0
Verify Your Identity Now,Security alert: please reset your credentials immediately to prevent data exposure. An important document requires your confirmation; access it through the link provided to avoid penalties. An important document requires your confirmation; access it through the link provided to avoid penalties. You have been specially selected for an exclusive offer; click to finalize your acceptance. An important document requires your confirmation; access it through the link provided to avoid penalties. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/9682,1,1
Verify Billing Information,Click the link below to immediately secure your account and confirm your identity within 24 hours. An important document requires your confirmation; access it through the link provided to avoid penalties. Failure to respond within the specified timeframe may result in temporary suspension of your account. Your payment could not be processed; update your billing information to avoid service interruption. Click the link below to immediately secure your account and confirm your identity within 24 hours. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$498 at Subscription Service. http://malicious.example/3698 http://malicious.example/4715,2,1
You Won a Prize!,"To receive your package or prize, provide confirmation with valid personal details on the linked form. You have been specially selected for an exclusive offer; click to finalize your acceptance. We detected unusual activity and require you to verify your recent transactions via the secure portal. Failure to respond within the specified timeframe may result in temporary suspension of your account. Unauthorized login attempts were detected; verify your identity to prevent further access. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/7401",1,1
Policy Update Notification,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please see the attached document and review the proposed changes before the end of the week. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Reset Your Password Immediately,"To receive your package or prize, provide confirmation with valid personal details on the linked form. Click the link below to immediately secure your account and confirm your identity within 24 hours. Unauthorized login attempts were detected; verify your identity to prevent further access. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/7599",1,1
Immediate Action Required: Account Suspension,"An important document requires your confirmation; access it through the link provided to avoid penalties. An important document requires your confirmation; access it through the link provided to avoid penalties. We detected unusual activity and require you to verify your recent transactions via the secure portal. Unauthorized login attempts were detected; verify your identity to prevent further access. To receive your package or prize, provide confirmation with valid personal details on the linked form. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/6263 http://malicious.example/6320",2,1
Client Feedback Summary,"We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Finalize Your Payment Details,Unauthorized login attempts were detected; verify your identity to prevent further access. An important document requires your confirmation; access it through the link provided to avoid penalties. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/9284,1,1
Holiday Schedule,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. This message contains important information about the upcoming schedule and deliverables for our project. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Performance Summary,Please see the attached document and review the proposed changes before the end of the week. Please see the attached document and review the proposed changes before the end of the week. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Please check the attached files for more details and add your comments to the shared document by EOD.,0,0
Reset Your Password Immediately,Claim your reward now by providing your details; limited slots are available and verification is required. Claim your reward now by providing your details; limited slots are available and verification is required. We detected unusual activity and require you to verify your recent transactions via the secure portal. Security alert: please reset your credentials immediately to prevent data exposure. An important document requires your confirmation; access it through the link provided to avoid penalties. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$24 at Subscription Service. http://malicious.example/7062,1,1
Client Feedback Summary,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. The vendor provided the requested materials and timelines; please comment if there are any discrepancies.",0,0
Weekly Report,"We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. This message contains important information about the upcoming schedule and deliverables for our project. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Action Required: Account Suspended,An important document requires your confirmation; access it through the link provided to avoid penalties. Failure to respond within the specified timeframe may result in temporary suspension of your account. Unauthorized login attempts were detected; verify your identity to prevent further access. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/3336 http://malicious.example/4454,2,1
You Won a Prize!,"You have been specially selected for an exclusive offer; click to finalize your acceptance. We detected unusual activity and require you to verify your recent transactions via the secure portal. To receive your package or prize, provide confirmation with valid personal details on the linked form. Unauthorized login attempts were detected; verify your identity to prevent further access. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/6252 http://malicious.example/5367 http://malicious.example/3478",3,1
Verify Billing Information,Failure to respond within the specified timeframe may result in temporary suspension of your account. Security alert: please reset your credentials immediately to prevent data exposure. Click the link below to immediately secure your account and confirm your identity within 24 hours. You have been specially selected for an exclusive offer; click to finalize your acceptance. Claim your reward now by providing your details; limited slots are available and verification is required. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$162 at Subscription Service. http://malicious.example/2959 http://malicious.example/4226,2,1
Invoice Details,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Security Alert: Account Compromised,Unauthorized login attempts were detected; verify your identity to prevent further access. Click the link below to immediately secure your account and confirm your identity within 24 hours. We detected unusual activity and require you to verify your recent transactions via the secure portal. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/9350,1,1
Office Maintenance Notice,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. This message contains important information about the upcoming schedule and deliverables for our project. Please see the attached document and review the proposed changes before the end of the week. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Verify Your Identity Now,Claim your reward now by providing your details; limited slots are available and verification is required. You have been specially selected for an exclusive offer; click to finalize your acceptance. We detected unusual activity and require you to verify your recent transactions via the secure portal. Your payment could not be processed; update your billing information to avoid service interruption. Click the link below to immediately secure your account and confirm your identity within 24 hours. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/5045,1,1
Exclusive Offer: Limited Time Reward,"Click the link below to immediately secure your account and confirm your identity within 24 hours. Claim your reward now by providing your details; limited slots are available and verification is required. An important document requires your confirmation; access it through the link provided to avoid penalties. Unauthorized login attempts were detected; verify your identity to prevent further access. To receive your package or prize, provide confirmation with valid personal details on the linked form. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4783 http://malicious.example/6163 http://malicious.example/4651",3,1
Unauthorized Access Attempt Detected,"To receive your package or prize, provide confirmation with valid personal details on the linked form. Your payment could not be processed; update your billing information to avoid service interruption. Claim your reward now by providing your details; limited slots are available and verification is required. Click the link below to immediately secure your account and confirm your identity within 24 hours. We detected unusual activity and require you to verify your recent transactions via the secure portal. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/1159",1,1
Project Milestones Update,"The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Verify Your Identity Now,Failure to respond within the specified timeframe may result in temporary suspension of your account. An important document requires your confirmation; access it through the link provided to avoid penalties. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/1805,1,1
Finalize Your Payment Details,"Failure to respond within the specified timeframe may result in temporary suspension of your account. We detected unusual activity and require you to verify your recent transactions via the secure portal. To receive your package or prize, provide confirmation with valid personal details on the linked form. Security alert: please reset your credentials immediately to prevent data exposure. Claim your reward now by providing your details; limited slots are available and verification is required. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$150 at Unknown Merchant. http://malicious.example/2546",1,1
Project Update,"If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective.",1,0
Client Feedback Summary,"We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please see the attached document and review the proposed changes before the end of the week. Please see the attached document and review the proposed changes before the end of the week. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Holiday Schedule,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary.",0,0
Unauthorized Access Attempt Detected,"Your payment could not be processed; update your billing information to avoid service interruption. To receive your package or prize, provide confirmation with valid personal details on the linked form. Security alert: please reset your credentials immediately to prevent data exposure. You have been specially selected for an exclusive offer; click to finalize your acceptance. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$449 at Online Store. http://malicious.example/3314",1,1
Exclusive Offer: Limited Time Reward,Security alert: please reset your credentials immediately to prevent data exposure. Claim your reward now by providing your details; limited slots are available and verification is required. An important document requires your confirmation; access it through the link provided to avoid penalties. Your payment could not be processed; update your billing information to avoid service interruption. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$114 at Subscription Service. http://malicious.example/9653 http://malicious.example/9129,2,1
Policy Update Notification,Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. Please see the attached document and review the proposed changes before the end of the week. The marketing team has compiled the latest campaign metrics and insights which are included below for your review.,0,0
Claim Your Gift Card,"Claim your reward now by providing your details; limited slots are available and verification is required. To receive your package or prize, provide confirmation with valid personal details on the linked form. You have been specially selected for an exclusive offer; click to finalize your acceptance. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/2180",1,1
Project Update,"We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Lunch Invitation,This message contains important information about the upcoming schedule and deliverables for our project. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. This message contains important information about the upcoming schedule and deliverables for our project. Please see the attached document and review the proposed changes before the end of the week.,0,0
Security Alert: Account Compromised,Click the link below to immediately secure your account and confirm your identity within 24 hours. Failure to respond within the specified timeframe may result in temporary suspension of your account. Your payment could not be processed; update your billing information to avoid service interruption. Unauthorized login attempts were detected; verify your identity to prevent further access. Click the link below to immediately secure your account and confirm your identity within 24 hours. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8928 http://malicious.example/9953 http://malicious.example/1082,3,1
Unauthorized Access Attempt Detected,An important document requires your confirmation; access it through the link provided to avoid penalties. Claim your reward now by providing your details; limited slots are available and verification is required. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$273 at Unknown Merchant. http://malicious.example/2007,1,1
Confirm Your Email,Failure to respond within the specified timeframe may result in temporary suspension of your account. Unauthorized login attempts were detected; verify your identity to prevent further access. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/2517 http://malicious.example/1966,2,1
Lunch Invitation,Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. This message contains important information about the upcoming schedule and deliverables for our project. Please see the attached document and review the proposed changes before the end of the week.,0,0
Claim Your Gift Card,"Claim your reward now by providing your details; limited slots are available and verification is required. Security alert: please reset your credentials immediately to prevent data exposure. Unauthorized login attempts were detected; verify your identity to prevent further access. To receive your package or prize, provide confirmation with valid personal details on the linked form. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4079",1,1
Weekly Report,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please see the attached document and review the proposed changes before the end of the week. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Holiday Schedule,"Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Please check the attached files for more details and add your comments to the shared document by EOD.",1,0
Reset Your Password Immediately,"Claim your reward now by providing your details; limited slots are available and verification is required. To receive your package or prize, provide confirmation with valid personal details on the linked form. Unauthorized login attempts were detected; verify your identity to prevent further access. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4393 http://malicious.example/4570",2,1
Finalize Your Payment Details,Failure to respond within the specified timeframe may result in temporary suspension of your account. Unauthorized login attempts were detected; verify your identity to prevent further access. You have been specially selected for an exclusive offer; click to finalize your acceptance. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$385 at Subscription Service. http://malicious.example/3149,1,1
Weekly Report,This message contains important information about the upcoming schedule and deliverables for our project. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. Please check the attached files for more details and add your comments to the shared document by EOD.,0,0
Holiday Schedule,"Please see the attached document and review the proposed changes before the end of the week. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. This message contains important information about the upcoming schedule and deliverables for our project. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",1,0
Verify Billing Information,You have been specially selected for an exclusive offer; click to finalize your acceptance. We detected unusual activity and require you to verify your recent transactions via the secure portal. Security alert: please reset your credentials immediately to prevent data exposure. You have been specially selected for an exclusive offer; click to finalize your acceptance. You have been specially selected for an exclusive offer; click to finalize your acceptance. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/7666 http://malicious.example/1372,2,1
Client Feedback Summary,"As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Please see the attached document and review the proposed changes before the end of the week. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. This message contains important information about the upcoming schedule and deliverables for our project. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Holiday Schedule,"Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. The marketing team has compiled the latest campaign metrics and insights which are included below for your review.",0,0
Weekly Report,"The marketing team has compiled the latest campaign metrics and insights which are included below for your review. Please see the attached document and review the proposed changes before the end of the week. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Exclusive Offer: Limited Time Reward,An important document requires your confirmation; access it through the link provided to avoid penalties. Your payment could not be processed; update your billing information to avoid service interruption. Your payment could not be processed; update your billing information to avoid service interruption. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4847 http://malicious.example/7373,2,1
Project Milestones Update,"We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. As a reminder, all timesheets must be submitted by Friday to ensure accurate payroll processing. Attached you will find the detailed agenda, the slide deck, and a link to the collaborative document for edits.",0,0
Finalize Your Payment Details,Security alert: please reset your credentials immediately to prevent data exposure. Failure to respond within the specified timeframe may result in temporary suspension of your account. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$37 at Subscription Service. http://malicious.example/7887,1,1
Immediate Action Required: Account Suspension,"To receive your package or prize, provide confirmation with valid personal details on the linked form. You have been specially selected for an exclusive offer; click to finalize your acceptance. To receive your package or prize, provide confirmation with valid personal details on the linked form. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4614",1,1
You Won a Prize!,An important document requires your confirmation; access it through the link provided to avoid penalties. An important document requires your confirmation; access it through the link provided to avoid penalties. Your payment could not be processed; update your billing information to avoid service interruption. We detected unusual activity and require you to verify your recent transactions via the secure portal. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/4672 http://malicious.example/6460,2,1
Office Maintenance Notice,"We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. Please see the attached document and review the proposed changes before the end of the week. This message contains important information about the upcoming schedule and deliverables for our project. Please check the attached files for more details and add your comments to the shared document by EOD. For questions, reach out to the project lead or reply to this email and someone will assist you.",0,0
Verify Your Identity Now,Claim your reward now by providing your details; limited slots are available and verification is required. Unauthorized login attempts were detected; verify your identity to prevent further access. Failure to respond within the specified timeframe may result in temporary suspension of your account. You have been specially selected for an exclusive offer; click to finalize your acceptance. Claim your reward now by providing your details; limited slots are available and verification is required. An important document requires your confirmation; access it through the link provided to avoid penalties. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$31 at Unknown Merchant. http://malicious.example/8478 http://malicious.example/8126,2,1
Monthly Newsletter,"This message contains important information about the upcoming schedule and deliverables for our project. This message contains important information about the upcoming schedule and deliverables for our project. This message contains important information about the upcoming schedule and deliverables for our project. If you cannot attend the meeting, notify your manager and share your updates in the meeting notes document. Please check the attached files for more details and add your comments to the shared document by EOD.",0,0
Lunch Invitation,This message contains important information about the upcoming schedule and deliverables for our project. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. Please check the attached files for more details and add your comments to the shared document by EOD.,1,0
You Won a Prize!,"To receive your package or prize, provide confirmation with valid personal details on the linked form. You have been specially selected for an exclusive offer; click to finalize your acceptance. Unauthorized login attempts were detected; verify your identity to prevent further access. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/2903",1,1
Holiday Schedule,"Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. This message contains important information about the upcoming schedule and deliverables for our project. Please see the attached document and review the proposed changes before the end of the week. Our office will undergo scheduled maintenance this weekend; please relocate any sensitive equipment if necessary. For questions, reach out to the project lead or reply to this email and someone will assist you.",1,0
Urgent: Update Your Password,"Click the link below to immediately secure your account and confirm your identity within 24 hours. To receive your package or prize, provide confirmation with valid personal details on the linked form. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/1296",1,1
Performance Summary,We appreciate everyone's effort this quarter and look forward to continuing progress on these initiatives. We will hold a follow-up meeting to discuss feedback and action items derived from the last sprint retrospective. The vendor provided the requested materials and timelines; please comment if there are any discrepancies. The marketing team has compiled the latest campaign metrics and insights which are included below for your review. This message contains important information about the upcoming schedule and deliverables for our project. This message contains important information about the upcoming schedule and deliverables for our project.,0,0
Claim Your Gift Card,Claim your reward now by providing your details; limited slots are available and verification is required. You have been specially selected for an exclusive offer; click to finalize your acceptance. We detected unusual activity and require you to verify your recent transactions via the secure portal. Click the link below to immediately secure your account and confirm your identity within 24 hours. You have been specially selected for an exclusive offer; click to finalize your acceptance. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/8894,1,1
Exclusive Offer: Limited Time Reward,Unauthorized login attempts were detected; verify your identity to prevent further access. Your payment could not be processed; update your billing information to avoid service interruption. Claim your reward now by providing your details; limited slots are available and verification is required. If you do not act now your account will be limited. Follow the link to resolve this issue. Recent transaction: -$100 at Subscription Service. http://malicious.example/4757,1,1
Finalize Your Payment Details,You have been specially selected for an exclusive offer; click to finalize your acceptance. Failure to respond within the specified timeframe may result in temporary suspension of your account. Security alert: please reset your credentials immediately to prevent data exposure. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/5376 http://malicious.example/3358,2,1
You Won a Prize!,Your payment could not be processed; update your billing information to avoid service interruption. Security alert: please reset your credentials immediately to prevent data exposure. Failure to respond within the specified timeframe may result in temporary suspension of your account. If you do not act now your account will be limited. Follow the link to resolve this issue. http://malicious.example/2011,1,1
